Feature,Importance
CustomerID_AC-108631,9.272923039038468e-09
CustomerID_AC-108657,8.709750457517054e-09
CustomerID_AC-107980,8.70026735911664e-09
CustomerID_AC-102175,8.694114018740208e-09
CustomerID_AC-101702,8.658933031822267e-09
TransactionDate_2024-04-02,8.501892827507198e-09
TransactionDate_2024-02-28,8.24338276584253e-09
CustomerID_AC-105915,8.241948190786773e-09
TransactionDate_2024-02-22,8.130635713395591e-09
TransactionDate_2024-08-09,8.068070418717907e-09
CustomerID_AC-106709,7.937968383600504e-09
CustomerID_AC-109057,7.92241891930017e-09
TransactionDate_2025-02-03,7.720054688206441e-09
CustomerID_AC-109671,7.694302968301579e-09
TransactionDate_2024-10-15,7.64923895913088e-09
TransactionDate_2025-04-25,7.641762048766643e-09
TransactionDate_2024-04-21,7.588051772321312e-09
TransactionDate_2024-12-28,7.438989117325757e-09
CustomerID_AC-108416,7.431817095918725e-09
TransactionDate_2024-08-12,7.372843325332681e-09
CustomerID_AC-101258,7.18006284397877e-09
TransactionDate_2024-07-27,7.168471543209534e-09
CustomerID_AC-104985,7.0791283644503536e-09
CustomerID_AC-108137,6.954921139935661e-09
TransactionDate_2024-07-07,6.892934910290998e-09
CustomerID_AC-107195,6.828130698218323e-09
TransactionDate_2024-08-25,6.781789004113882e-09
CustomerID_AC-101619,6.667549948432034e-09
CustomerID_AC-109846,6.214787595734864e-09
CustomerID_AC-102303,6.135696183919376e-09
CustomerID_AC-107327,6.122988387602654e-09
TransactionDate_2025-03-18,6.034893376913552e-09
TransactionDate_2024-01-03,5.793042575444792e-09
TransactionDate_2024-09-11,5.772384566320589e-09
CustomerID_AC-108143,5.753371983682484e-09
CustomerID_AC-107812,5.615115169267921e-09
CustomerID_AC-101941,5.604480115467067e-09
TransactionDate_2024-01-19,5.576160856288683e-09
CustomerID_AC-105059,5.555719279635922e-09
TransactionDate_2024-08-15,5.4823027375926254e-09
TransactionDate_2024-01-29,5.4433566321229725e-09
TransactionDate_2024-06-12,5.415406960712952e-09
TransactionDate_2025-01-01,5.406418229293495e-09
TransactionDate_2024-06-18,5.121331720715728e-09
CustomerID_AC-107307,5.0767296111149255e-09
CustomerID_AC-104041,4.918073608483073e-09
CustomerID_AC-101699,4.892283337083409e-09
CustomerID_AC-107603,4.86599405740119e-09
TransactionDate_2024-12-13,4.821224520587221e-09
CustomerID_AC-102823,4.767264723458285e-09
TransactionDate_2025-03-17,4.7252092278301805e-09
CustomerID_AC-106160,4.627342547534567e-09
TransactionDate_2025-05-17,4.567034459625151e-09
TransactionDate_2025-05-06,4.458487046737592e-09
TransactionDate_2024-03-29,4.310180318518745e-09
TransactionDate_2024-09-13,4.301084510515071e-09
CustomerID_AC-103620,4.221204841925778e-09
CustomerID_AC-107493,4.1704573732372865e-09
CustomerID_AC-107937,4.136151057665025e-09
TransactionDate_2025-06-02,4.127651117805164e-09
CustomerID_AC-108970,4.108851404515934e-09
CustomerID_AC-109146,4.024670828336319e-09
TransactionDate_2024-04-09,3.986536628670845e-09
CustomerID_AC-101326,3.974392235288052e-09
CustomerID_AC-100135,3.938944864221873e-09
CustomerID_AC-103176,3.8590721009045955e-09
CustomerID_AC-105923,3.854043722217827e-09
TransactionDate_2024-08-08,3.838650663851955e-09
CustomerID_AC-102653,3.828330389977193e-09
TransactionDate_2025-06-16,3.780588086638287e-09
CustomerID_AC-105346,3.7126976327634663e-09
TransactionDate_2024-09-24,3.697168268982561e-09
TransactionDate_2025-05-03,3.6900158345811478e-09
CustomerID_AC-100830,3.6625343093259666e-09
CustomerID_AC-100956,3.566256386362203e-09
TransactionDate_2024-08-04,3.5632125389767005e-09
TransactionDate_2024-02-12,3.549905657034863e-09
CustomerID_AC-102045,3.5259788774100047e-09
CustomerID_AC-109365,3.465271221950535e-09
TransactionDate_2024-06-30,3.4570666734417432e-09
TransactionDate_2025-01-16,3.4104661318853866e-09
TransactionDate_2024-03-15,3.3593046243653184e-09
TransactionDate_2024-05-25,3.355195911905219e-09
TransactionDate_2024-07-05,3.2967881499651045e-09
CustomerID_AC-106238,3.253583555068817e-09
CustomerID_AC-106735,3.2295172234140518e-09
TransactionDate_2024-05-17,3.223974113103269e-09
CustomerID_AC-101534,3.1656630875230808e-09
TransactionDate_2024-06-19,3.1590942185068975e-09
CustomerID_AC-100651,3.1240510470758343e-09
CustomerID_AC-102051,3.1179853544151473e-09
TransactionDate_2024-12-14,3.073558662658117e-09
CustomerID_AC-105102,3.054958731692722e-09
TransactionDate_2025-02-14,3.0489083581691194e-09
CustomerID_AC-107537,3.0251127865842358e-09
CustomerID_AC-100636,2.996056964710096e-09
CustomerID_AC-103854,2.994601884054824e-09
TransactionDate_2024-02-06,2.973379289039354e-09
TransactionDate_2025-01-10,2.965526138887432e-09
CustomerID_AC-102087,2.916942511275738e-09
TransactionDate_2024-05-24,2.9134204667078566e-09
TransactionDate_2025-03-14,2.9067550797490177e-09
CustomerID_AC-104105,2.870203124646864e-09
CustomerID_AC-101688,2.8488377659247976e-09
TransactionDate_2025-04-04,2.841940857026037e-09
CustomerID_AC-101831,2.8308322490467138e-09
TransactionDate_2024-01-07,2.809556657521435e-09
CustomerID_AC-106738,2.8095376259826875e-09
TransactionDate_2024-03-04,2.7537976796934164e-09
TransactionDate_2025-03-07,2.727276321430405e-09
CustomerID_AC-107844,2.7185505353806324e-09
CustomerID_AC-109433,2.714992946011706e-09
TransactionDate_2024-09-21,2.6765542732751187e-09
CustomerID_AC-109253,2.667770080597068e-09
TransactionDate_2025-02-28,2.6503152636329566e-09
CustomerID_AC-107647,2.6448972970376307e-09
CustomerID_AC-101566,2.6400287119785282e-09
TransactionDate_2024-07-11,2.6397898370439007e-09
CustomerID_AC-108860,2.6335183746817234e-09
CustomerID_AC-104658,2.6207421060374445e-09
CustomerID_AC-108895,2.6184948134512546e-09
TransactionDate_2024-04-08,2.6005288253164912e-09
TransactionDate_2024-05-04,2.597591010845281e-09
CustomerID_AC-100957,2.5962421585883235e-09
TransactionDate_2025-01-07,2.553575285013836e-09
CustomerID_AC-108544,2.547455833143579e-09
TransactionDate_2025-04-03,2.544992974512355e-09
CustomerID_AC-106189,2.5133604386922953e-09
CustomerID_AC-102547,2.512803073213186e-09
TransactionDate_2024-09-28,2.4490859849452267e-09
CustomerID_AC-109141,2.4423560369045474e-09
TransactionDate_2025-05-08,2.4363506262815207e-09
TransactionDate_2025-06-13,2.4362251350333994e-09
CustomerID_AC-100985,2.417274889684391e-09
CustomerID_AC-107567,2.406926578719629e-09
CustomerID_AC-102530,2.3966722517856807e-09
CustomerID_AC-106043,2.375034570880544e-09
CustomerID_AC-103842,2.374667197903976e-09
TransactionDate_2025-05-24,2.352820112135594e-09
TransactionDate_2024-06-24,2.295703001076025e-09
CustomerID_AC-100152,2.261109705890252e-09
CustomerID_AC-103469,2.2573959933390314e-09
TransactionDate_2024-01-12,2.2365160759592272e-09
TransactionDate_2024-06-15,2.2358169472264387e-09
CustomerID_AC-103773,2.220634362407148e-09
CustomerID_AC-108475,2.2097970551538566e-09
TransactionDate_2024-07-23,2.1653857840618802e-09
TransactionDate_2024-08-18,2.1483978061176076e-09
TransactionDate_2024-07-10,2.1385111845082875e-09
TransactionDate_2025-05-23,2.137594016956304e-09
CustomerID_AC-104619,2.136955831236369e-09
TransactionDate_2024-11-28,2.1246599795623403e-09
TransactionDate_2024-04-26,2.1241248384392243e-09
CustomerID_AC-107508,2.119959990018492e-09
CustomerID_AC-106068,2.087741357960687e-09
CustomerID_AC-107834,2.066544941905712e-09
TransactionDate_2024-10-28,2.0638723844874665e-09
CustomerID_AC-107018,2.045989319685954e-09
CustomerID_AC-104793,2.0419596395693593e-09
CustomerID_AC-107010,2.005128963383218e-09
TransactionDate_2024-07-08,2.0015758102577364e-09
CustomerID_AC-106047,2.0010687317681767e-09
CustomerID_AC-109691,1.9975971202440206e-09
CustomerID_AC-106067,1.994036917165608e-09
TransactionDate_2024-04-19,1.975375633860845e-09
